State_UT,Fiscal Year,Scheme,Scheme Description,Estimate,Value,Unit
Uttar Pradesh,2015-16,Lohiya Grameen Aawas Yojana,Lohiya Awas yojana is social welfare programme run by the Government of Uttar Pradesh. It aims to provide housing for the rural poor through financial assistance for construction of houses. ,Budget Estimates,740.0,In Rs. Crore
Uttar Pradesh,2015-16,Lohiya Grameen Aawas Yojana,Lohiya Awas yojana is social welfare programme run by the Government of Uttar Pradesh. It aims to provide housing for the rural poor through financial assistance for construction of houses. ,Revised Estimates,740.0,In Rs. Crore
Uttar Pradesh,2015-16,Lohiya Grameen Aawas Yojana,Lohiya Awas yojana is social welfare programme run by the Government of Uttar Pradesh. It aims to provide housing for the rural poor through financial assistance for construction of houses. ,Actuals,733.0,In Rs. Crore
Uttar Pradesh,2016-17,Lohiya Grameen Aawas Yojana,Lohiya Awas yojana is social welfare programme run by the Government of Uttar Pradesh. It aims to provide housing for the rural poor through financial assistance for construction of houses. ,Budget Estimates,1361.0,In Rs. Crore
Uttar Pradesh,2016-17,Lohiya Grameen Aawas Yojana,Lohiya Awas yojana is social welfare programme run by the Government of Uttar Pradesh. It aims to provide housing for the rural poor through financial assistance for construction of houses. ,Revised Estimates,1420.0,In Rs. Crore
Uttar Pradesh,2016-17,Lohiya Grameen Aawas Yojana,Lohiya Awas yojana is social welfare programme run by the Government of Uttar Pradesh. It aims to provide housing for the rural poor through financial assistance for construction of houses. ,Actuals,2533.0,In Rs. Crore
Uttar Pradesh,2017-18,Lohiya Grameen Aawas Yojana,Lohiya Awas yojana is social welfare programme run by the Government of Uttar Pradesh. It aims to provide housing for the rural poor through financial assistance for construction of houses. ,Budget Estimates,330.0,In Rs. Crore
Uttar Pradesh,2017-18,Lohiya Grameen Aawas Yojana,Lohiya Awas yojana is social welfare programme run by the Government of Uttar Pradesh. It aims to provide housing for the rural poor through financial assistance for construction of houses. ,Revised Estimates,330.0,In Rs. Crore
Uttar Pradesh,2017-18,Lohiya Grameen Aawas Yojana,Lohiya Awas yojana is social welfare programme run by the Government of Uttar Pradesh. It aims to provide housing for the rural poor through financial assistance for construction of houses. ,Actuals,300.0,In Rs. Crore
Uttar Pradesh,2018-19,Lohiya Grameen Aawas Yojana,Lohiya Awas yojana is social welfare programme run by the Government of Uttar Pradesh. It aims to provide housing for the rural poor through financial assistance for construction of houses. ,Budget Estimates,148.0,In Rs. Crore
Uttar Pradesh,2018-19,Lohiya Grameen Aawas Yojana,Lohiya Awas yojana is social welfare programme run by the Government of Uttar Pradesh. It aims to provide housing for the rural poor through financial assistance for construction of houses. ,Revised Estimates,148.0,In Rs. Crore
Uttar Pradesh,2018-19,Lohiya Grameen Aawas Yojana,Lohiya Awas yojana is social welfare programme run by the Government of Uttar Pradesh. It aims to provide housing for the rural poor through financial assistance for construction of houses. ,Actuals,142.3,In Rs. Crore
Uttar Pradesh,2019-20,Lohiya Grameen Aawas Yojana,Lohiya Awas yojana is social welfare programme run by the Government of Uttar Pradesh. It aims to provide housing for the rural poor through financial assistance for construction of houses. ,Budget Estimates,188.6,In Rs. Crore
Uttar Pradesh,2019-20,Lohiya Grameen Aawas Yojana,Lohiya Awas yojana is social welfare programme run by the Government of Uttar Pradesh. It aims to provide housing for the rural poor through financial assistance for construction of houses. ,Revised Estimates,188.6,In Rs. Crore
Uttar Pradesh,2019-20,Lohiya Grameen Aawas Yojana,Lohiya Awas yojana is social welfare programme run by the Government of Uttar Pradesh. It aims to provide housing for the rural poor through financial assistance for construction of houses. ,Actuals,133.4,In Rs. Crore
Uttar Pradesh,2020-21,Lohiya Grameen Aawas Yojana,Lohiya Awas yojana is social welfare programme run by the Government of Uttar Pradesh. It aims to provide housing for the rural poor through financial assistance for construction of houses. ,Budget Estimates,126.0,In Rs. Crore
Uttar Pradesh,2020-21,Lohiya Grameen Aawas Yojana,Lohiya Awas yojana is social welfare programme run by the Government of Uttar Pradesh. It aims to provide housing for the rural poor through financial assistance for construction of houses. ,Revised Estimates,113.4,In Rs. Crore
Uttar Pradesh,2020-21,Lohiya Grameen Aawas Yojana,Lohiya Awas yojana is social welfare programme run by the Government of Uttar Pradesh. It aims to provide housing for the rural poor through financial assistance for construction of houses. ,Actuals,124.4,In Rs. Crore
Uttar Pradesh,2021-22,Lohiya Grameen Aawas Yojana,Lohiya Awas yojana is social welfare programme run by the Government of Uttar Pradesh. It aims to provide housing for the rural poor through financial assistance for construction of houses. ,Budget Estimates,116.0,In Rs. Crore
Uttar Pradesh,2021-22,Lohiya Grameen Aawas Yojana,Lohiya Awas yojana is social welfare programme run by the Government of Uttar Pradesh. It aims to provide housing for the rural poor through financial assistance for construction of houses. ,Revised Estimates,109.6,In Rs. Crore
Uttar Pradesh,2021-22,Lohiya Grameen Aawas Yojana,Lohiya Awas yojana is social welfare programme run by the Government of Uttar Pradesh. It aims to provide housing for the rural poor through financial assistance for construction of houses. ,Actuals,115.5,In Rs. Crore
Uttar Pradesh,2022-23,Lohiya Grameen Aawas Yojana,Lohiya Awas yojana is social welfare programme run by the Government of Uttar Pradesh. It aims to provide housing for the rural poor through financial assistance for construction of houses. ,Budget Estimates,34.0,In Rs. Crore
Uttar Pradesh,2022-23,Lohiya Grameen Aawas Yojana,Lohiya Awas yojana is social welfare programme run by the Government of Uttar Pradesh. It aims to provide housing for the rural poor through financial assistance for construction of houses. ,Revised Estimates,34.0,In Rs. Crore
Uttar Pradesh,2023-24,Lohiya Grameen Aawas Yojana,Lohiya Awas yojana is social welfare programme run by the Government of Uttar Pradesh. It aims to provide housing for the rural poor through financial assistance for construction of houses. ,Budget Estimates,NA,In Rs. Crore
Uttar Pradesh,2015-16,Dr. APJ Abdul Kalam Solar Punj Yojana,Dr. APJ Abdul Kalam Solar Punj Yojana launched by the Government of Uttar Pradesh aims at installing solar lights in all municipal bodies. Under this scheme orders were given to install solar lights and pump houses for drinking water system in all municipal bodies in 2016. ,Budget Estimates,0.0,In Rs. Crore
Uttar Pradesh,2015-16,Dr. APJ Abdul Kalam Solar Punj Yojana,Dr. APJ Abdul Kalam Solar Punj Yojana launched by the Government of Uttar Pradesh aims at installing solar lights in all municipal bodies. Under this scheme orders were given to install solar lights and pump houses for drinking water system in all municipal bodies in 2016. ,Revised Estimates,0.0,In Rs. Crore
